industry_code,industry_name,sector_l1,sector_l2,sector_l3,stock_count,representative_stock_code,source_classification_version,generated_at
it-서비스__it-서비스__기타-정보-서비스,기타 정보 서비스,IT 서비스,IT 서비스,기타 정보 서비스,3,030190,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
it-서비스__it서비스__소프트웨어,소프트웨어,IT 서비스,IT서비스,소프트웨어,16,007120,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
it-서비스__it서비스__인터넷서비스,인터넷서비스,IT 서비스,IT서비스,인터넷서비스,7,020120,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__건물설비-설치-공사,건물설비 설치 공사,건설,건설,건물설비 설치 공사,1,126720,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__건설,건설,건설,건설,건설,40,000720,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__건축기술-엔지니어링-및-관련-기술-서비스,"건축기술, 엔지니어링 및 관련 기술 서비스",건설,건설,"건축기술, 엔지니어링 및 관련 기술 서비스",1,480370,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__기반조성-및-시설물-축조관련-전문공사,기반조성 및 시설물 축조관련 전문공사,건설,건설,기반조성 및 시설물 축조관련 전문공사,3,010960,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__미디어-통신,미디어/통신,건설,건설,미디어/통신,1,036630,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__실내건축-및-건축마무리-공사,실내건축 및 건축마무리 공사,건설,건설,실내건축 및 건축마무리 공사,4,041590,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__건설__전기-및-통신-공사,전기 및 통신 공사,건설,건설,전기 및 통신 공사,6,036190,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__전기-전자__디스플레이,디스플레이,건설,전기·전자,디스플레이,1,010400,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
건설__전기-전자__이차전지,이차전지,건설,전기·전자,이차전지,1,011560,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__건강관리__제약,제약,금융,건강관리,제약,3,000640,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__건설__건설,건설,금융,건설,건설,1,012630,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__금융,금융,금융,금융,금융,6,00806K,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__금융-지원-서비스,금융 지원 서비스,금융,금융,금융 지원 서비스,5,060250,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__기타-금융,기타 금융,금융,금융,기타 금융,58,000070,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__보험,보험,금융,금융,보험,2,211050,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__신탁-및-집합투자,신탁 및 집합투자,금융,금융,신탁 및 집합투자,10,019550,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__에너지-화학,에너지/화학,금융,금융,에너지/화학,5,004800,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__운송,운송,금융,금융,운송,1,180640,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__은행,은행,금융,금융,은행,11,006220,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__금융__증권,증권,금융,금융,증권,1,071050,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__보험__보험,보험,금융,보험,보험,12,000370,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__생활소비재__화장품,화장품,금융,생활소비재,화장품,1,044820,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__운송장비-부품__자동차,자동차,금융,운송장비·부품,자동차,2,036530,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__운송장비-부품__조선,조선,금융,운송장비·부품,조선,3,006260,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__전기-전자__반도체,반도체,금융,전기·전자,반도체,3,005740,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__전기-전자__이차전지,이차전지,금융,전기·전자,이차전지,1,086520,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__증권__금융-지원-서비스,금융 지원 서비스,금융,증권,금융 지원 서비스,5,001270,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__증권__증권,증권,금융,증권,증권,13,001200,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
금융__철강-소재__철강,철강,금융,철강·소재,철강,2,001230,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
기타__기타__기타-정보-서비스,기타 정보 서비스,기타,기타,기타 정보 서비스,16,032680,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
기타__기타__부동산-임대-및-공급,부동산 임대 및 공급,기타,기타,부동산 임대 및 공급,2,001000,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
기타__기타__서적-잡지-및-기타-인쇄물-출판,"서적, 잡지 및 기타 인쇄물 출판",기타,기타,"서적, 잡지 및 기타 인쇄물 출판",1,418470,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
기타__기타__어로-어,어로 어,기타,기타,어로 어,2,004970,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
기타__기타__작물-재배,작물 재배,기타,기타,작물 재배,2,054050,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
기타__기타__전기-통신,전기 통신,기타,기타,전기 통신,8,025770,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
부동산__부동산__부동산-임대-및-공급,부동산 임대 및 공급,부동산,부동산,부동산 임대 및 공급,3,015020,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
서비스__it서비스__소프트웨어,소프트웨어,서비스,IT서비스,소프트웨어,202,0007C0,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
서비스__it서비스__인터넷서비스,인터넷서비스,서비스,IT서비스,인터넷서비스,8,033130,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__미디어-엔터__미디어-콘텐츠,미디어/콘텐츠,오락·문화,미디어/엔터,미디어/콘텐츠,43,012170,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__서비스__레저,레저,오락·문화,서비스,레저,3,034230,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__오락-문화__서적-잡지-및-기타-인쇄물-출판,"서적, 잡지 및 기타 인쇄물 출판",오락·문화,오락·문화,"서적, 잡지 및 기타 인쇄물 출판",9,035290,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__오락-문화__스포츠-서비스,스포츠 서비스,오락·문화,오락·문화,스포츠 서비스,2,011420,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__오락-문화__오디오물-출판-및-원판-녹음,오디오물 출판 및 원판 녹음,오락·문화,오락·문화,오디오물 출판 및 원판 녹음,6,035900,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__오락-문화__오락-문화,오락·문화,오락·문화,오락·문화,오락·문화,1,204630,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
오락-문화__오락-문화__창작-및-예술관련-서비스,창작 및 예술관련 서비스,오락·문화,오락·문화,창작 및 예술관련 서비스,4,032800,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
운송-창고__운송-창고__기타-운송관련-서비스,기타 운송관련 서비스,운송·창고,운송·창고,기타 운송관련 서비스,5,003100,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
운송-창고__운송-창고__도로-화물-운송,도로 화물 운송,운송·창고,운송·창고,도로 화물 운송,5,004360,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
운송-창고__운송-창고__운송,운송,운송·창고,운송·창고,운송,6,000120,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
운송-창고__운송-창고__육상-여객-운송,육상 여객 운송,운송·창고,운송·창고,육상 여객 운송,3,000650,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
운송-창고__운송-창고__항공-여객-운송,항공 여객 운송,운송·창고,운송·창고,항공 여객 운송,3,091810,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
운송-창고__운송-창고__해운,해운,운송·창고,운송·창고,해운,6,003280,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__건강관리__바이오,바이오,유통,건강관리,바이오,1,065660,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__건강관리__의료기기,의료기기,유통,건강관리,의료기기,1,032940,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__건강관리__제약,제약,유통,건강관리,제약,6,043710,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__생활소비재__화장품,화장품,유통,생활소비재,화장품,7,019660,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__섬유-의류__섬유-의류,섬유/의류,유통,섬유·의류,섬유/의류,10,031430,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__건축자재-철물-및-난방장치-도매,"건축자재, 철물 및 난방장치 도매",유통,유통,"건축자재, 철물 및 난방장치 도매",1,007110,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__기계장비-및-관련-물품-도매,기계장비 및 관련 물품 도매,유통,유통,기계장비 및 관련 물품 도매,12,003010,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__기타-상품-전문-소매,기타 상품 전문 소매,유통,유통,기타 상품 전문 소매,3,004590,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__기타-생활용품-소매,기타 생활용품 소매,유통,유통,기타 생활용품 소매,2,309930,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__기타-전문-도매,기타 전문 도매,유통,유통,기타 전문 도매,28,000440,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__무점포-소매,무점포 소매,유통,유통,무점포 소매,3,035080,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__산용-농-축산물-및-동-식물-도매,산용 농·축산물 및 동·식물 도매,유통,유통,산용 농·축산물 및 동·식물 도매,2,006880,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__상품-종합-도매,상품 종합 도매,유통,유통,상품 종합 도매,18,000680,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__상품-중개,상품 중개,유통,유통,상품 중개,8,001120,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__생활용품-도매,생활용품 도매,유통,유통,생활용품 도매,11,005320,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__에너지-화학,에너지/화학,유통,유통,에너지/화학,2,006060,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__연료-소매,연료 소매,유통,유통,연료 소매,3,002420,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__유통,유통,유통,유통,유통,17,000050,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__자동차-부품-및-내장품-판매,자동차 부품 및 내장품 판매,유통,유통,자동차 부품 및 내장품 판매,2,025530,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__유통__자동차-판매,자동차 판매,유통,유통,자동차 판매,2,067990,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__음식료-담배__음식료,음식료,유통,음식료·담배,음식료,11,025870,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__전기-전자__가전-전자제품,가전/전자제품,유통,전기·전자,가전/전자제품,2,002700,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__전기-전자__반도체,반도체,유통,전기·전자,반도체,8,031330,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__전기-전자__이차전지,이차전지,유통,전기·전자,이차전지,1,047050,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__전기-전자__전자부품,전자부품,유통,전기·전자,전자부품,1,052020,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유통__전기-전자__통신장비,통신장비,유통,전기·전자,통신장비,4,005110,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유틸리티__전기-가스__가스,가스,유틸리티,전기·가스,가스,2,0001A0,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
유틸리티__전기-가스__전력,전력,유틸리티,전기·가스,전력,1,060900,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__건강관리__바이오,바이오,일반서비스,건강관리,바이오,67,0009K0,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__건강관리__제약,제약,일반서비스,건강관리,제약,2,002620,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__건설__건설,건설,일반서비스,건설,건설,2,028050,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__미디어-엔터__광고-마케팅,광고/마케팅,일반서비스,미디어/엔터,광고/마케팅,19,010470,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__생활소비재__화장품,화장품,일반서비스,생활소비재,화장품,1,032860,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__서비스__여행,여행,일반서비스,서비스,여행,6,032350,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__서비스__호텔-레저,호텔/레저,일반서비스,서비스,호텔/레저,3,006730,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__개인-및-가정용품-수리,개인 및 가정용품 수리,일반서비스,일반서비스,개인 및 가정용품 수리,1,377460,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__개인-및-가정용품-임대,개인 및 가정용품 임대,일반서비스,일반서비스,개인 및 가정용품 임대,1,284740,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__건축기술-엔지니어링-및-관련-기술-서비스,"건축기술, 엔지니어링 및 관련 기술 서비스",일반서비스,일반서비스,"건축기술, 엔지니어링 및 관련 기술 서비스",11,002150,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__교육지원-서비스,교육지원 서비스,일반서비스,일반서비스,교육지원 서비스,1,057030,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__그외-기타-개인-서비스,그외 기타 개인 서비스,일반서비스,일반서비스,그외 기타 개인 서비스,1,021240,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__그외-기타-전문-과학-및-기술-서비스,"그외 기타 전문, 과학 및 기술 서비스",일반서비스,일반서비스,"그외 기타 전문, 과학 및 기술 서비스",7,0015S0,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__기타-과학기술-서비스,기타 과학기술 서비스,일반서비스,일반서비스,기타 과학기술 서비스,5,046120,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__기타-교육기관,기타 교육기관,일반서비스,일반서비스,기타 교육기관,2,067280,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__기타-사지원-서비스,기타 사지원 서비스,일반서비스,일반서비스,기타 사지원 서비스,8,034950,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__기타-전문-서비스,기타 전문 서비스,일반서비스,일반서비스,기타 전문 서비스,2,054800,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__사시설-유지-관리-서비스,사시설 유지·관리 서비스,일반서비스,일반서비스,사시설 유지·관리 서비스,1,038870,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__산용-기계-및-장비-임대,산용 기계 및 장비 임대,일반서비스,일반서비스,산용 기계 및 장비 임대,1,095570,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__시장조사-및-여론조사,시장조사 및 여론조사,일반서비스,일반서비스,시장조사 및 여론조사,1,169330,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__운송,운송,일반서비스,일반서비스,운송,1,000700,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__운송장비-임대,운송장비 임대,일반서비스,일반서비스,운송장비 임대,2,089860,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__음식점,음식점,일반서비스,일반서비스,음식점,2,031440,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__의료용품-및-기타-의약-관련제품,의료용품 및 기타 의약 관련제품,일반서비스,일반서비스,의료용품 및 기타 의약 관련제품,1,352770,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__일반-교습-학원,일반 교습 학원,일반서비스,일반서비스,일반 교습 학원,6,040420,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__전문디자인,전문디자인,일반서비스,일반서비스,전문디자인,2,020710,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__초등-교육기관,초등 교육기관,일반서비스,일반서비스,초등 교육기관,2,019680,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__폐기물-처리,폐기물 처리,일반서비스,일반서비스,폐기물 처리,2,060150,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__일반서비스__회사-본부-및-경영-컨설팅-서비스,회사 본부 및 경영 컨설팅 서비스,일반서비스,일반서비스,회사 본부 및 경영 컨설팅 서비스,7,000180,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
일반서비스__전기-전자__가전-전자제품,가전/전자제품,일반서비스,전기·전자,가전/전자제품,1,012750,stock-classification-sha256:5f250e0e24e7,2026-03-22T07:54:06Z
